layer_name,family,side,block,d_in,mean_act_salience,max_act_salience,mean_wt_salience,max_wt_salience,top1_median_ratio_act,top1_median_ratio_wt,gini_act,gini_wt,mean_spearman_rho,std_spearman_rho,min_spearman_rho,max_spearman_rho,mean_jaccard_topk,cov_temporal,early_late_topk_jaccard,risk_score
blocks.14.image.mlp.fc2,fc2,image,14,6144,1.101722002029419,3.667482614517212,0.18451787531375885,0.8818359375,3.092318023954119,5.105300426483154,0.1977179603208477,0.12329772665712468,0.0126630290018758,0.04589918525311394,-0.06364438589046768,0.07469872732669655,0.02410211396386511,0.23374097049236298,0.0,0.2529357355545261
blocks.1.text.attn.v_proj,v_proj,text,1,1536,0.5179790258407593,8.333427429199219,0.08150609582662582,0.29443359375,16.63281880106245,3.8225040435791016,0.41851818330402485,0.12342570990599411,0.16711052784238015,0.03303964085533869,0.13864665196173384,0.32477118521695664,0.17624051101140054,0.2657928764820099,0.28,0.2528515275221405
blocks.3.text.mlp.fc1,fc1,text,3,1536,1.6230419874191284,23.184282302856445,0.208255335688591,0.5966796875,15.47471444947379,2.915597915649414,0.2932394493810591,0.07419549560597716,0.43147617621056883,0.015903262200060168,0.38901250835171813,0.4443037726210792,0.04863543866339061,0.11877962201833725,0.5238095238095238,0.25283270835958865
blocks.8.text.mlp.fc2,fc2,text,8,6144,2.101092576980591,11.718207359313965,0.19336839020252228,0.99169921875,5.650947843279157,5.348255634307861,0.2725166278428767,0.11106606774351913,-0.07600697438900042,0.0225948900132724,-0.13253739751893087,-0.049499083535916366,0.027029814217243393,0.23898489773273468,0.14285714285714285,0.2527957192012886
blocks.17.image.mlp.fc2,fc2,image,17,6144,1.127639889717102,4.483731269836426,0.1689711958169937,0.74658203125,3.8587865148271834,4.608892440795898,0.22295346421759563,0.09871581899223791,-0.04170377176921162,0.02901568786203255,-0.07774486204874104,0.03413182920395769,0.019785037324941832,0.2696547508239746,0.0,0.25210937734697
blocks.18.image.mlp.fc2,fc2,image,18,6144,1.1047412157058716,3.925285816192627,0.16279058158397675,0.796875,3.4745387520108904,5.103987693786621,0.20238499335333543,0.10505131435980486,-0.02099102294072701,0.07303221853119532,-0.10600539078911664,0.11643968428517937,0.008863807961675648,0.25045907497406006,0.0,0.24943849312132746
blocks.4.text.attn.v_proj,v_proj,text,4,1536,0.8951260447502136,7.140200138092041,0.18281586468219757,0.45361328125,7.881603905132839,2.4798130989074707,0.2761468095467314,0.08792980824670904,0.3512391015165039,0.021682514090458196,0.286729807508687,0.3666982453585605,0.021139638651159382,0.17453370988368988,0.3333333333333333,0.249156093744447
blocks.11.text.mlp.fc2,fc2,text,11,6144,2.7747433185577393,17.122148513793945,0.2020566463470459,0.97216796875,6.210512927600315,5.19165563583374,0.2549910526328596,0.1312942989820669,-0.04939751087894551,0.03611400303171803,-0.10831313852104303,0.00986315944874318,0.10153818210048791,0.21506226062774658,0.28,0.24627045648472065
blocks.4.text.mlp.fc1,fc1,text,4,1536,1.6847541332244873,13.370096206665039,0.22214360535144806,0.52001953125,7.442371640886579,2.4108657836914062,0.2614855971072524,0.09057487019681876,0.41479285867080884,0.026900774191435203,0.31793457397008995,0.43414194810658935,0.0017006802721088435,0.13162434101104736,0.391304347826087,0.2461192510130068
blocks.3.image.attn.o_proj,o_proj,image,3,1536,2.005661725997925,8.074883460998535,0.19040517508983612,0.42236328125,3.6140773636954173,2.2883598804473877,0.32314841378423564,0.11575935824751826,0.2694448459965666,0.009985344823037812,0.25392760616377746,0.29107838576582085,0.0022675736961451248,0.19921927154064178,0.06666666666666667,0.24597841095243617
